rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification,counterfeit_sure
12,Base azuki,10K,195,https://rarible.com/collection/base/0xe501b688d4b2c73549d4513bd5bc28c3085a180a,,Base,0xe501b688d4b2c73549d4513bd5bc28c3085a180a,2024/4/11 2:30,1,1,,,,,
272,Azuki Based Ape,917,65,https://rarible.com/collection/base/0x30fd2faa9a41de667d1d2326b03baa92b7b3d9c0,,Base,0x30fd2faa9a41de667d1d2326b03baa92b7b3d9c0,2023/8/20 21:22,1,,,,,,
273,Azuki,888,241,https://rarible.com/collection/base/0x6294529a8e0e46c8300c2525aefcfaa7528eb7cf,,Base,0x6294529a8e0e46c8300c2525aefcfaa7528eb7cf,2023/8/21 21:26,1,1,,,,,
35,Azuki Dolls,9.2K,9,https://rarible.com/collection/base/0x0d14c5737a1d6864604011553de281e75f7cf956,,Base,0x0d14c5737a1d6864604011553de281e75f7cf956,2024/5/29 14:02,1,,,,,,
36,Duck Azukis,8.1K,3.1K,https://rarible.com/collection/base/0xde28375d995b3568b0fd8cb8ce354800e783bce5,,Base,0xde28375d995b3568b0fd8cb8ce354800e783bce5,2024/6/11 18:07,1,,,,,,
4,Based Azuki Elementals,500,28,https://rarible.com/collection/base/0xe99cd1251ca63eaad5c0c81b628d9ba05bb0243e,,Base,0xe99cd1251ca63eaad5c0c81b628d9ba05bb0243e,2024/6/11 9:51,1,,,,,,
5,Based Azuki Elemental Beans,71,1.5K,https://rarible.com/collection/base/0x9ce99031c874ef4e5f247ebe13def0dfacc0f0d8,,Base,0x9ce99031c874ef4e5f247ebe13def0dfacc0f0d8,2024/6/11 11:11,1,,,,,,
63,Azukiapes,5.1K,3.1K,https://rarible.com/collection/base/0xc2884f4d234e9b5999d1fd200f4d384c7689b2d7,,Base,0xc2884f4d234e9b5999d1fd200f4d384c7689b2d7,2024/6/9 0:14,1,1,,,,,
78,Azuki Base,2.8K,340,https://rarible.com/collection/base/0x286ce4278213bf7b561763ebcf2342bb94e52858,,Base,0x286ce4278213bf7b561763ebcf2342bb94e52858,2024/4/7 17:52,1,1,,,,,
98,Azuki,2K,1,https://rarible.com/collection/celo/0x1bc22e048e648521f240615230904211fdf2f7a7,,Celo,0x1bc22e048e648521f240615230904211fdf2f7a7,,1,,,,,,
1,Azuki,4.6K,10K,https://rarible.com/azuki,,Ethereum,0xed5af388653567af2f388e6224dc7c4b3241c544,2022/1/12 12:17,0,0,0,1,1,1,
10,Azuki Land,10.3K,5.1K,https://rarible.com/collection/0x86a557014fb37ffe0bcf733dc2dc9df2d861b242,,Ethereum,0x86a557014fb37ffe0bcf733dc2dc9df2d861b242,2022/5/10 11:58,1,,,,,,
107,Azuki Milady,1.2K,285,https://rarible.com/collection/0x4a519d24a9d03e51e6da5732b16420b68943bc32,,Ethereum,0x4a519d24a9d03e51e6da5732b16420b68943bc32,2022/6/1 5:19,1,1,,,,,
108,Azuki x AMBUSH Hoodie,1.1K,27,https://rarible.com/collection/0x6df755abf00ea76723f4cadc05b37c011145c048,,Ethereum,0x6df755abf00ea76723f4cadc05b37c011145c048,2022/12/6 4:00,1,,,,,,
109,AscendedAzuki,1.3K,78,https://rarible.com/collection/0xdc869635d747e62bd739f4cebb281c4317feb378,,Ethereum,0xdc869635d747e62bd739f4cebb281c4317feb378,2022/3/23 0:56,1,,,,,,
11,OkayAzukiYachtClub,10K,799,https://rarible.com/collection/0xd1d29b66d30c932fc27824050489bfd6b63db175,,Ethereum,0xd1d29b66d30c932fc27824050489bfd6b63db175,2022/5/24 4:31,1,,,,,,
2,Azuki Elementals,6K,16.1K,https://rarible.com/azukielementals,,Ethereum,0xb6a37b5d14d502c3ab0ae6f3a0e058bc9517786e,2023/6/28 2:46,1,1,,,,,
267,ColorPencil Azuki,964,931,https://rarible.com/collection/0x05c8ae6765f170b7114f6e00ac2275b2b80ff789,,Ethereum,0x05c8ae6765f170b7114f6e00ac2275b2b80ff789,2022/4/18 13:12,1,,,,,,
268,ColorPencil Azuki,999,1.5K,https://rarible.com/collection/0x15f58fd40a01dae0fdff6fd0cef35cd3e49d647e,,Ethereum,0x15f58fd40a01dae0fdff6fd0cef35cd3e49d647e,2022/2/17 1:41,1,,,,,,
269,Mutant Azuki,938,55,https://rarible.com/collection/0x1c33f262be2f83baa871fe73f8b8603ee0da4252,,Ethereum,0x1c33f262be2f83baa871fe73f8b8603ee0da4252,2022/4/3 17:18,1,,,,,,
27,Gutter Punks Flyer - Azuki,10K,5.6K,https://rarible.com/collection/0x080b2b89e7a7014145c198d84f9fbebf124ed2e8,,Ethereum,0x080b2b89e7a7014145c198d84f9fbebf124ed2e8,2022/3/21 14:55,1,,,,,,
270,AzukiGiveaway,948,48,https://rarible.com/collection/0x4d3dd329db4b435e8a3ac3a597ba41294f1c7a77,,Ethereum,0x4d3dd329db4b435e8a3ac3a597ba41294f1c7a77,2022/4/8 21:05,1,,,,,,
271,AzukiPotatoes,1K,165,https://rarible.com/collection/0xde69f084e4f18dfab9e1858273b1f4e366e4de4d,,Ethereum,0xde69f084e4f18dfab9e1858273b1f4e366e4de4d,2022/3/13 8:15,1,,,,,,
28,Not Azuki,7.2K,515,https://rarible.com/collection/0x28753c4925d10eabfec8a34e6d0db82bd6daa12c,,Ethereum,0x28753c4925d10eabfec8a34e6d0db82bd6daa12c,2022/5/20 8:34,1,,,,,,
29,KNGDM Dragons Egg,7.8K,3,https://rarible.com/KNGDMDragonsEgg,,Ethereum,0x31379e9ab5262ef9a1f149be2470af79882d82be,2023/3/12 9:29,1,,,,,,
3,Azuki Elemental Beans,3.8K,1.6K,https://rarible.com/azukielementalbeans,,Ethereum,0x3af2a97414d1101e2107a70e7f33955da1346305,2023/6/24 15:01,1,,,,,,
30,Azuki On Bear Market,10K,411,https://rarible.com/collection/0x837d4c907a1d8fc1575dccfd79dd7fb285a3f8d7,,Ethereum,0x837d4c907a1d8fc1575dccfd79dd7fb285a3f8d7,2022/7/28 19:53,1,,,,,,
31,Mutant Okay Azukis,6.9K,371,https://rarible.com/mutant-okay-azukis,,Ethereum,0xcf3586d2437244c83df9a569d94c840451e7fb1d,2022/5/27 14:16,1,1,,,,,
32,OkayAzukis,10K,2.4K,https://rarible.com/okayazukis,,Ethereum,0xe4812b063daf6345bd16e2c9ed285ff5d740ae09,2022/5/21 12:51,1,1,,,,,
33,Azuki Mfer,10K,2.9K,https://rarible.com/collection/0xee467844905022d2a6cc1da7a0b555608faae751,,Ethereum,0xee467844905022d2a6cc1da7a0b555608faae751,2022/2/22 10:08,1,,,,,,
34,COLORPENCIL X AZUKI,8K,4.8K,https://rarible.com/collection/0xf603f99c529b33b0ea1684ec48dba42e78697359,,Ethereum,0xf603f99c529b33b0ea1684ec48dba42e78697359,2022/3/31 6:34,1,,,,,,
47,AzukiPixel,5.3K,79,https://rarible.com/collection/0x05efb78f91ba0e070f47868a08e48d9f9612ea05,,Ethereum,0x05efb78f91ba0e070f47868a08e48d9f9612ea05,2022/8/28 3:01,1,,,,,,
48,NoAzukiNoApe,5.5K,1.3K,https://rarible.com/noazukinoape,,Ethereum,0x0dc56a3b08b8bf1545e08b840eeb085b9c123763,2022/6/28 5:54,1,,,,,,
49,ColorPencil X Azuki,6K,3.5K,https://rarible.com/collection/0x2092dd6823f02605be9e907070cb14f3b9e38cfe,,Ethereum,0x2092dd6823f02605be9e907070cb14f3b9e38cfe,2022/3/28 0:56,1,,,,,,
50,Pixel Azukis,4K,294,https://rarible.com/collection/0x3171f57de9f9a829288e2d4dee526b6063214797,,Ethereum,0x3171f57de9f9a829288e2d4dee526b6063214797,2022/3/26 10:45,1,,,,,,
51,Azuki Doodles,4.5K,554,https://rarible.com/collection/0x37bf4dc8630fea01b95d325ee914356f0d390eb4,,Ethereum,0x37bf4dc8630fea01b95d325ee914356f0d390eb4,2022/3/6 20:49,1,,,,,,
52,VintageAzukis,3.3K,208,https://rarible.com/collection/0x60fcb1d9cb05dcca202a7089679d7173010380ed,,Ethereum,0x60fcb1d9cb05dcca202a7089679d7173010380ed,2022/4/4 14:40,1,,,,,,
53,AzuKID DAO,3.3K,1.1K,https://rarible.com/collection/0x7581f90f03f1f3ed8dc1755caecb4fd2495c48c6,,Ethereum,0x7581f90f03f1f3ed8dc1755caecb4fd2495c48c6,2022/1/31 0:32,1,,,,,,
54,STAC Flyer - Azuki,5.4K,5.4K,https://rarible.com/collection/0x76788c4c37ed7ab4468dd5892a8b14117063a34d,,Ethereum,0x76788c4c37ed7ab4468dd5892a8b14117063a34d,2022/4/21 11:53,1,,,,,,
55,Azukigos,5.6K,821,https://rarible.com/collection/0x9bd932db7616d9e9a7fee911cac60e79118599f4,,Ethereum,0x9bd932db7616d9e9a7fee911cac60e79118599f4,2023/4/10 19:21,1,,,,,,
56,AzukiX,5.1K,697,https://rarible.com/collection/0xa108bd591ef5c11c80ab22e96b236a88dfe928de,,Ethereum,0xa108bd591ef5c11c80ab22e96b236a88dfe928de,2022/2/19 20:00,1,,,,,,1
57,Azuki BoringPunks,3.5K,515,https://rarible.com/collection/0xa9a2cdd3c8bd8794d229d40368ec7d74fe966a1d,,Ethereum,0xa9a2cdd3c8bd8794d229d40368ec7d74fe966a1d,2023/6/18 0:58,1,,,,,,
58,AzukiPunks,4.5K,963,https://rarible.com/collection/0xad7ae0ed521cc263cea686c059b521f0a20a780f,,Ethereum,0xad7ae0ed521cc263cea686c059b521f0a20a780f,2022/1/23 11:01,1,,,,,,
59,AZUKILOSER,5.8K,941,https://rarible.com/collection/0xb0693f0923031dd14e204d85d2180e26836c00fb,,Ethereum,0xb0693f0923031dd14e204d85d2180e26836c00fb,2023/6/28 12:14,1,,,,,,
60,Cashgrab Azuki,5.6K,1.9K,https://rarible.com/collection/0xc1c7b914c9bd03a758f5baf05582c898fe2305c6,,Ethereum,0xc1c7b914c9bd03a758f5baf05582c898fe2305c6,2023/6/28 9:22,1,1,,,,,
61,AzukiArt,3.4K,1.1K,https://rarible.com/azukiart,,Ethereum,0xebbb641dfe14805939b6cc25d2a90c93bd6a2021,2022/6/22 22:00,1,1,,,,,
62,RR/AZUKI,4.4K,884,https://rarible.com/collection/0xf647d29e93279d275c554216ee0ed2ea28a2d577,,Ethereum,0xf647d29e93279d275c554216ee0ed2ea28a2d577,2022/6/21 11:36,1,1,,,,,
67,Azuki For People,3.3K,222,https://rarible.com/collection/0x0bc040c6f7440b7b2378d4296005aff3eba81511,,Ethereum,0x0bc040c6f7440b7b2378d4296005aff3eba81511,2022/4/4 4:18,1,1,,,,,
