rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification,counterfeit_sure
107,Bored Ape Yacht Club Home Base - MINT,1,12,https://rarible.com/collection/base/0x64c125b392e208f60e87fc71c39db800cf6c1bfa,,Base,0x64c125b392e208f60e87fc71c39db800cf6c1bfa,2024/4/11 23:48,1,,,,,,
108,Bored Ape Yacht Club - HB,1,7,https://rarible.com/collection/base/0x65b0bde139aef416f33dcd9da9246d453dd8686d,,Base,0x65b0bde139aef416f33dcd9da9246d453dd8686d,2024/4/13 16:08,1,,,,,,
109,Mint Bored Ape Yacht Club Home Base,1,54,https://rarible.com/collection/base/0x751dc8250b79adf1053965361b4962326a129509,,Base,0x751dc8250b79adf1053965361b4962326a129509,2024/4/11 23:02,1,,,,,,
110,Bored Ape Yacht Club Home-Base MINT,1,28,https://rarible.com/collection/base/0x7a0059fa4cecaea217c3272523fc0590d91de715,,Base,0x7a0059fa4cecaea217c3272523fc0590d91de715,2024/4/13 19:12,1,,,,,,
111,Bored Ape Yacht Club Home Base MINT,1,15,https://rarible.com/collection/base/0x7cf214006d616a8282f2d4e8f1152cd7ab3ddded,,Base,0x7cf214006d616a8282f2d4e8f1152cd7ab3ddded,2024/4/11 18:11,1,,,,,,
112,Linea Bored Ape Yacht Club,1,1,https://rarible.com/collection/base/0x8943433d09053232c050d03942a080afeb76368f,,Base,0x8943433d09053232c050d03942a080afeb76368f,2023/9/9 18:09,1,1,,,,,
113,Bored Ape Yacht Club Home Base MINT,1,3,https://rarible.com/collection/base/0xa0832ace2abaa8d3ea3aa1c4c75aed1680a335de,,Base,0xa0832ace2abaa8d3ea3aa1c4c75aed1680a335de,2024/4/11 15:02,1,,,,,,
114,Mint Bored Ape Yacht Club Home Base,1,1,https://rarible.com/collection/base/0xb933e3ce9b18e74ba4167a47ae78515bda3244d1,,Base,0xb933e3ce9b18e74ba4167a47ae78515bda3244d1,2024/4/11 22:56,1,,,,,,
115,Bored Ape Yacht Club Home Base MINT,1,8,https://rarible.com/collection/base/0xbac1db1699b6b89a2a1fc30e62d2bce6613d8462,,Base,0xbac1db1699b6b89a2a1fc30e62d2bce6613d8462,2024/4/13 12:18,1,,,,,,
116,Bored Ape Yacht Club,1,1,https://rarible.com/collection/base/0xc0dd00707266511015a6426e7a488c2a4cc95976,,Base,0xc0dd00707266511015a6426e7a488c2a4cc95976,2024/2/10 6:39,1,,,,,,
117,Based Ape Yoga Club,1,1,https://rarible.com/collection/base/0xc9f95b08dc3f7051554da32016fc1f588a511fc1,,Base,0xc9f95b08dc3f7051554da32016fc1f588a511fc1,2024/4/20 21:58,1,,,,,,
147,Bored Ape Yacht Club,,,https://rarible.com/collection/base/0xc68e9dd871cf208f6dfc55f157c90d5390297bfa,,Base,0xc68e9dd871cf208f6dfc55f157c90d5390297bfa,,1,,,,,,
