rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification
1,Pudgy Penguins,5.7K,8.9K,https://rarible.com/pudgypenguins,,Ethereum,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,2021-07-23 03:59:45,0.0,0.0,0.0,1.0,1.0,1.0
10,PixelPudgyPenguins,1.3K,116,https://rarible.com/collection/0xdc124dff35e2e96572e7396f80cf49d1e4d1b4b0,,Ethereum,0xdc124dff35e2e96572e7396f80cf49d1e4d1b4b0,2022-08-24 09:01:52,1.0,,,,,
100,Pudgy Penguins,109,57,https://rarible.com/collection/base/0x1e6073f445084895dd82694ede9c27fe9a80153a,,Base,0x1e6073f445084895dd82694ede9c27fe9a80153a,2023-10-17 03:52:13,1.0,1.0,,,,
101,BASE Pudgy Penguins,37,8,https://rarible.com/collection/base/0x44710f7fd8c58c0537fe94de08b7adc6e046d15e,,Base,0x44710f7fd8c58c0537fe94de08b7adc6e046d15e,2023-08-19 13:52:29,1.0,,,,,
102,Pudgy Penguins,62,42,https://rarible.com/collection/base/0x98107ffc228a96e20304afb5d08b850ebc77250d,,Base,0x98107ffc228a96e20304afb5d08b850ebc77250d,2023-10-21 10:52:49,1.0,1.0,,,,
103,Forever Pudgy Penguin Traits,73,2.4K,https://rarible.com/collection/polygon/0x84047392538009c3d3da0aa76a098b44e1ea5771,,Polygon,0x84047392538009c3d3da0aa76a098b44e1ea5771,2023-03-02 11:26:45,1.0,,,,,
104,Pudgy Penguins,100,1,https://rarible.com/collection/polygon/0x9623176e58ae90570018d9e11d6f685251ca102c,,Polygon,0x9623176e58ae90570018d9e11d6f685251ca102c,2024-05-07 16:49:19,1.0,1.0,,,,
105,Pudgy Penguins,140,1,https://rarible.com/collection/polygon/0xbc3cef50e05d7933b8ca0f999efbcb2be0735149,,Polygon,0xbc3cef50e05d7933b8ca0f999efbcb2be0735149,2022-08-22 09:15:25,1.0,1.0,,,,
106,Pudgy Penguins,35,1,https://rarible.com/collection/zksync/0xda40ff6f271c120781a33d2c2616262437aa38b6,,zkSync,0xda40ff6f271c120781a33d2c2616262437aa38b6,2023-09-08 09:24:17,1.0,,,,,
107,Pudgy Penguin Hoodie Origin,32,301,https://rarible.com/collection/0x0bbd5cb2c89f7d4f361033bde076f892fbd2a6e0,,Ethereum,0x0bbd5cb2c89f7d4f361033bde076f892fbd2a6e0,2022-10-15 11:07:47,1.0,,,,,
108,Pudgy Penguin Hoodie Genesis,32,301,https://rarible.com/collection/0x0cd93f96b2f128a3348264e0bbf9ef628521491f,,Ethereum,0x0cd93f96b2f128a3348264e0bbf9ef628521491f,2022-10-15 11:04:59,1.0,,,,,
109,Eggs by Pudgy Penguins,25,1,https://rarible.com/collection/0x0f0595cdbb3bf77e3501788c76d960b58c384424,,Ethereum,0x0f0595cdbb3bf77e3501788c76d960b58c384424,2023-01-04 08:47:47,1.0,,,,,
11,PudgyPeacefulPenguin,10K,2.1K,https://rarible.com/collection/0xf391498efb71074eeae6c4db3dbf37675fe3f8c1,,Ethereum,0xf391498efb71074eeae6c4db3dbf37675fe3f8c1,2022-08-23 20:43:02,1.0,1.0,,,,
110,#1 pudgypenguins.fun,25,9.8K,https://rarible.com/collection/0x1e52a90e35df9d6b6abd47d86c3b9e870bfd1c00,,Ethereum,0x1e52a90e35df9d6b6abd47d86c3b9e870bfd1c00,2024-01-03 08:19:59,1.0,,,,,
111,Pudgy Penguin Hoodie Club,32,301,https://rarible.com/collection/0x409bfe1361d964dde9f42eaf1d1f81506f945273,,Ethereum,0x409bfe1361d964dde9f42eaf1d1f81506f945273,2022-10-15 11:05:47,1.0,,,,,
112,Pudgy Penguin Hoodie Limited,32,301,https://rarible.com/collection/0x4ed82dea4e584a4539259b5b53425aa02c6a394b,,Ethereum,0x4ed82dea4e584a4539259b5b53425aa02c6a394b,2022-10-15 11:03:11,1.0,,,,,
113,The Pudgy Penguin Hoodie Collection,32,301,https://rarible.com/collection/0x58a30cf804a1b6562cdd39b416307a11d91814c5,,Ethereum,0x58a30cf804a1b6562cdd39b416307a11d91814c5,2022-10-15 11:10:23,1.0,,,,,
114,Pudgy Penguin Hoodie Original,32,301,https://rarible.com/collection/0x65a1d686261a191dc2fea45394fbaa75c5e1725b,,Ethereum,0x65a1d686261a191dc2fea45394fbaa75c5e1725b,2022-10-15 11:03:35,1.0,,,,,
115,Pudgy Penguin Hoodie Collection,32,301,https://rarible.com/collection/0x759e654a4e9fd3dd147b8393137cd7d10c0ebad7,,Ethereum,0x759e654a4e9fd3dd147b8393137cd7d10c0ebad7,2022-10-15 11:04:11,1.0,,,,,
116,Pudgy Penguin Hoodie Officials,32,301,https://rarible.com/collection/0x76b3fa967649c863dd6c8b5c877f5d3408b4fa27,,Ethereum,0x76b3fa967649c863dd6c8b5c877f5d3408b4fa27,2022-10-15 11:06:11,1.0,,,,,
117,Pudgy Penguin Hoodie Origins,32,301,https://rarible.com/collection/0x8e0d3589494f7acc9028e6c3436c251bd8d4d906,,Ethereum,0x8e0d3589494f7acc9028e6c3436c251bd8d4d906,2022-10-15 11:08:11,1.0,,,,,
118,Pudgy Penguins,30,13,https://rarible.com/collection/0x94d6ad0e72d437120a1d3d4e905780fb51ea1be5,,Ethereum,0x94d6ad0e72d437120a1d3d4e905780fb51ea1be5,2024-02-08 06:01:11,1.0,1.0,,,,
119,Loot Pudgy Penguins,21,1,https://rarible.com/collection/0x98ae2b8a4abb4647f8cf7faa3efe4c18ab9d08a1,,Ethereum,0x98ae2b8a4abb4647f8cf7faa3efe4c18ab9d08a1,2022-09-16 09:53:11,1.0,,,,,
12,PolyPudgyPenguins,1.7K,325,https://rarible.com/collection/polygon/0x20d0adc4061d5bf923d5977e48871cd1fa64c2f5,,Polygon,0x20d0adc4061d5bf923d5977e48871cd1fa64c2f5,2021-09-08 18:39:54,1.0,1.0,,,,
120,Keep Calm Pudgy Penguins,17,17,https://rarible.com/collection/0xc3b3a93fc9ba47f78658480e516798b938527bbb,,Ethereum,0xc3b3a93fc9ba47f78658480e516798b938527bbb,2023-07-29 13:09:47,1.0,,,,,
121,Pudgypenguins.fun,25,1,https://rarible.com/collection/0xd31d1f14054635a6503e226c7d99721da08b27fd,,Ethereum,0xd31d1f14054635a6503e226c7d99721da08b27fd,2024-01-03 08:26:35,1.0,,,,,
122,Pudgy Penguins,23,11,https://rarible.com/collection/base/0xc03eff2d830c9dec0a4504d381f84a59b53d13c4,,Base,0xc03eff2d830c9dec0a4504d381f84a59b53d13c4,2024-02-10 08:17:01,1.0,1.0,,,,
