decision_mode,contract_id,collection_type,low_rep_threshold_pct,trigger_k,angle,detected_window_proxy,first_sell_window,first_avoid_buy_window,first_risk_window,lead_windows,consecutive_risk_windows,has_risk_signal_before_detect,never_bought_before_detect,never_bought_and_no_avoid_signal,prompt_tokens_total,completion_tokens_total,total_tokens_total
rule_agent,8_3_0205c970_0205c970,rugpull,0.8,3,buy,22.0,,20.0,20.0,22.21868791306816,1,1,1,0,0.0,0.0,0.0
rule_agent,8_3_0205c970_0205c970,rugpull,0.8,3,sell,22.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_0205c970_0205c970,rugpull,0.8,3,buy,22.0,,20.0,20.0,22.21868791306816,3,1,1,0,1360.0,613.0,1973.0
llm_base,8_3_0205c970_0205c970,rugpull,0.8,3,sell,22.0,20.0,,20.0,22.21868791306816,3,1,1,0,1360.0,667.0,2027.0
llm_rank,8_3_0205c970_0205c970,rugpull,0.8,3,buy,22.0,,20.0,20.0,22.21868791306816,3,1,1,0,1507.0,769.0,2276.0
llm_rank,8_3_0205c970_0205c970,rugpull,0.8,3,sell,22.0,20.0,,20.0,22.21868791306816,1,1,1,0,1507.0,925.0,2432.0
llm_rank_compact,8_3_0205c970_0205c970,rugpull,0.8,3,buy,22.0,,20.0,20.0,22.21868791306816,3,1,1,0,1296.0,755.0,2051.0
llm_rank_compact,8_3_0205c970_0205c970,rugpull,0.8,3,sell,22.0,20.0,,20.0,22.21868791306816,1,1,1,0,1296.0,216.0,1512.0
llm_rank_mini,8_3_0205c970_0205c970,rugpull,0.8,3,buy,22.0,,20.0,20.0,22.21868791306816,3,1,1,0,1203.0,861.0,2064.0
llm_rank_mini,8_3_0205c970_0205c970,rugpull,0.8,3,sell,22.0,20.0,,20.0,22.21868791306816,1,1,1,0,1203.0,773.0,1976.0
rule_agent,8_3_0205c970_0205c970,rugpull,0.9,3,buy,22.0,,20.0,20.0,22.21868791306816,1,1,1,0,0.0,0.0,0.0
rule_agent,8_3_0205c970_0205c970,rugpull,0.9,3,sell,22.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_0205c970_0205c970,rugpull,0.9,3,buy,22.0,,20.0,20.0,22.21868791306816,3,1,1,0,1360.0,596.0,1956.0
llm_base,8_3_0205c970_0205c970,rugpull,0.9,3,sell,22.0,20.0,,20.0,22.21868791306816,3,1,1,0,1360.0,778.0,2138.0
llm_rank,8_3_0205c970_0205c970,rugpull,0.9,3,buy,22.0,,20.0,20.0,22.21868791306816,3,1,1,0,1507.0,808.0,2315.0
llm_rank,8_3_0205c970_0205c970,rugpull,0.9,3,sell,22.0,,,,,0,0,1,0,1507.0,804.0,2311.0
llm_rank_compact,8_3_0205c970_0205c970,rugpull,0.9,3,buy,22.0,,20.0,20.0,22.21868791306816,3,1,1,0,1296.0,703.0,1999.0
llm_rank_compact,8_3_0205c970_0205c970,rugpull,0.9,3,sell,22.0,,,,,0,0,1,0,1296.0,901.0,2197.0
llm_rank_mini,8_3_0205c970_0205c970,rugpull,0.9,3,buy,22.0,,20.0,20.0,22.21868791306816,1,1,1,0,1203.0,471.0,1674.0
llm_rank_mini,8_3_0205c970_0205c970,rugpull,0.9,3,sell,22.0,,,,,0,0,1,0,1203.0,316.0,1519.0
rule_agent,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,0.0,0.0,0.0
rule_agent,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,sell,3.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,1362.0,569.0,1931.0
llm_base,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,sell,3.0,3.0,,3.0,43.78423143980862,1,1,1,0,1362.0,713.0,2075.0
llm_rank,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,1497.0,689.0,2186.0
llm_rank,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,sell,3.0,1.0,,1.0,45.78423143980862,3,1,1,0,1497.0,709.0,2206.0
llm_rank_compact,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,1284.0,416.0,1700.0
llm_rank_compact,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,sell,3.0,1.0,,1.0,45.78423143980862,3,1,1,0,1284.0,570.0,1854.0
llm_rank_mini,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,1191.0,667.0,1858.0
llm_rank_mini,8_3_0b7e393f_0b7e393f,rugpull,0.8,3,sell,3.0,1.0,,1.0,45.78423143980862,1,1,1,0,1191.0,207.0,1398.0
rule_agent,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,0.0,0.0,0.0
rule_agent,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,sell,3.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,1362.0,580.0,1942.0
llm_base,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,sell,3.0,1.0,,1.0,45.78423143980862,1,1,1,0,1362.0,881.0,2243.0
llm_rank,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,1497.0,694.0,2191.0
llm_rank,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,sell,3.0,1.0,,1.0,45.78423143980862,3,1,1,0,1497.0,783.0,2280.0
llm_rank_compact,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,1284.0,645.0,1929.0
llm_rank_compact,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,sell,3.0,1.0,,1.0,45.78423143980862,3,1,1,0,1284.0,529.0,1813.0
llm_rank_mini,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,buy,3.0,,1.0,1.0,45.78423143980862,3,1,1,0,1191.0,731.0,1922.0
llm_rank_mini,8_3_0b7e393f_0b7e393f,rugpull,0.9,3,sell,3.0,,,,,0,0,1,0,1191.0,6.0,1197.0
rule_agent,8_3_0c5597e5_0c5597e5,rugpull,0.8,3,buy,23.0,,21.0,21.0,91.38109719012286,3,1,1,0,0.0,0.0,0.0
rule_agent,8_3_0c5597e5_0c5597e5,rugpull,0.8,3,sell,23.0,,,,,0,0,1,0,0.0,0.0,0.0
