model_name,decision_mode,malicious_prevent_buy_rate,good_false_reject_rate,mean_total_tokens,parse_success_rate,source_note
gpt-5.4-nano,rule_agent,0.30,0.01,0.00,1.00,recorded run
gpt-5.4-nano,llm_base,0.07,0.00,885.55,,recorded run
gpt-5.4-nano,llm_base_rank,0.49,0.00,963.22,,recorded run
gpt-5.4-nano,llm_base_rank_compact,0.39,0.02,891.50,,recorded run
gpt-5.4-nano,llm_base_rank_mini,0.44,0.06,864.89,,recorded run
gemini-3-flash-preview,rule_agent,0.30,0.01,0.00,1.00,gemini_5mode_summary_mapped.csv
gemini-3-flash-preview,llm_base,0.30,0.01,1282.87,0.00,gemini_5mode_summary_mapped.csv
gemini-3-flash-preview,llm_base_rank,0.30,0.01,1198.05,0.265,gemini_5mode_summary_mapped.csv
gemini-3-flash-preview,llm_base_rank_compact,0.30,0.02,1260.44,0.18,gemini_5mode_summary_mapped.csv
gemini-3-flash-preview,llm_base_rank_mini,0.30,0.01,1209.42,0.425,gemini_5mode_summary_mapped.csv
claude-sonnet-4-6,rule_agent,0.30,0.01,0.00,1.00,claude_5mode_summary_mapped.csv
claude-sonnet-4-6,llm_base,0.47,0.15,1044.23,1.00,claude_5mode_summary_mapped.csv
claude-sonnet-4-6,llm_base_rank,0.29,0.00,976.91,1.00,claude_5mode_summary_mapped.csv
claude-sonnet-4-6,llm_base_rank_compact,0.22,0.02,1036.88,1.00,claude_5mode_summary_mapped.csv
claude-sonnet-4-6,llm_base_rank_mini,0.22,0.06,1000.58,1.00,claude_5mode_summary_mapped.csv
deepseek-v3.2,rule_agent,0.30,0.01,0.00,1.00,deepseek_5mode_summary_mapped.csv
deepseek-v3.2,llm_base,0.50,0.01,917.71,1.00,deepseek_5mode_summary_mapped.csv
deepseek-v3.2,llm_base_rank,0.5859,0.04,868.40,1.00,deepseek_5mode_summary_mapped.csv
deepseek-v3.2,llm_base_rank_compact,0.57,0.0303,916.76,1.00,deepseek_5mode_summary_mapped.csv
deepseek-v3.2,llm_base_rank_mini,0.57,0.03,886.52,1.00,deepseek_5mode_summary_mapped.csv
